name,department,school,tags,rating,take_again,difficulty,avg_gpa
"PALMQUIST, T.",English,UC Irvine,{},3.9,N/,3.5,2.8200000000000003
"MORGAN, P.",Political Science,UC Irvine,"{'Get ready to read': 2, 'Hilarious': 2, 'LOTS OF HOMEWORK': 1, 'Lots of homework': 1}",3.8,100,3.6,3.4553333333333334
"MORGAN, P.",Social Science,UC Irvine,"{'Accessible outside class': 1, 'Amazing lectures': 3, 'Amazing lectures ': 2, 'Caring': 4, 'Clear grading criteria': 6, 'EXTRA CREDIT': 2, 'Get ready to read': 4, 'Gives good feedback': 1, 'Graded by few things': 1, 'Inspirational': 1, 'Lots of homework': 1, 'Participation matters': 3, 'Respected': 2, 'Tough grader': 1}",4.9,94,2.1,3.4553333333333334
"KENT, B.",Philosophy,UC Irvine,"{'GRADED BY FEW THINGS': 1, 'Get ready to read': 3, 'Gives good feedback': 2, 'Graded by few things': 2, 'Lecture heavy': 1, ""Skip class? You won't pass."": 2, 'Tough grader': 2}",3.8,50,3.5,2.8043750000000003
"RUMBAUT, R.",Sociology,UC Irvine,"{'Accessible outside class': 1, 'Amazing lectures': 1, 'EXTRA CREDIT': 2, 'GRADED BY FEW THINGS': 1, 'Get ready to read': 5, 'Gives good feedback': 1, 'Graded by few things': 3, 'Inspirational': 1, 'LECTURE HEAVY': 1, 'Lecture heavy': 2, 'Test heavy': 3}",2.5,50,3.1,2.732222222222222
"BOELLSTORFF, T.",Anthropology,UC Irvine,{},4.7,N/,1.9,3.85
"TENNER, A.",Biology,UC Irvine,"{'Get ready to read': 2, 'Graded by few things': 4, 'Lecture heavy': 5, 'Participation matters': 1, ""Skip class? You won't pass."": 1, 'Test heavy': 7, 'Tough grader': 6}",3.3,40,4.0,2.508
"SCHUMANN, T.",Criminal Justice,UC Irvine,"{'Accessible outside class': 2, 'Caring': 2, 'Respected': 2}",4.6,100,4.0,2.88
"MINOT, R.",Business,UC Irvine,"{'Gives good feedback': 1, 'Hilarious': 1, 'Inspirational': 1, 'Participation matters': 1, 'Would take again': 1}",3.2,N/,2.9,3.69
"SAARI, D.",Economics,UC Irvine,"{'Beware of pop quizzes': 3, 'Get ready to read': 2, 'LOTS OF HOMEWORK': 1, 'Lots of homework': 1, 'Participation matters': 2, 'Respected': 1, ""Skip class? You won't pass."": 3}",3.9,34,3.7,3.2525
"SCHWAB, M.",Philosophy,UC Irvine,{},3.6,N/,3.0,3.43
"PONTELL, H.",Criminal Justice,UC Irvine,"{'Amazing lectures ': 1, 'Clear grading criteria': 2, 'EXTRA CREDIT': 1, 'Get ready to read': 4, 'Graded by few things': 1, 'Inspirational': 1, 'Respected': 2, 'Tough grader': 1, 'Would take again': 1}",3.8,60,2.6,3.1062162162162164
"CARTIER, M.",Film,UC Irvine,"{'Graded by few things': 2, 'Group projects': 2, 'Participation matters': 2}",2.7,0,2.6,3.691739130434783
"RANGEL, R.",Engineering,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 1, 'Amazing lectures': 3, 'Amazing lectures ': 1, 'BEWARE OF POP QUIZZES': 2, 'Caring': 1, 'Clear grading criteria': 2, 'Get ready to read': 1, 'Gives good feedback': 1, 'Inspirational': 1, 'LECTURE HEAVY': 2, 'Lots of homework': 1, 'Participation matters': 4, 'Respected': 6, ""Skip class? You won't pass."": 2, 'TEST HEAVY': 2, 'Tough Grader': 1, 'Tough grader': 2}",4.0,82,3.9,3.264615384615385
"JOLLEY, S.",Philosophy,UC Irvine,"{'Amazing lectures ': 1, 'Get ready to read': 1, 'Tough grader': 1}",3.7,N/,3.0,2.97
"SU, Y.",Sociology,UC Irvine,{},3.2,N/,2.1,3.2338461538461534
"PANTELIA, M.",Classics,UC Irvine,"{'Amazing lectures ': 1, 'Clear grading criteria': 1, 'Would take again': 1}",4.1,N/,1.9,3.38
"KOBSA, A.",Computer Science,UC Irvine,"{'Caring': 3, 'Clear grading criteria': 2, 'GROUP PROJECTS': 1, 'Group projects': 1, 'Participation matters': 2, 'Respected': 1, 'Would take again': 2}",4.5,100,2.4,3.281999999999999
"GREEN, M.",Engineering,UC Irvine,"{'ACCESSIBLE OUTSIDE CLASS': 1, 'Amazing lectures': 2, 'Amazing lectures ': 1, 'Caring': 2, 'Inspirational': 1, 'Participation matters': 1, 'Respected': 1, ""Skip class? You won't pass."": 3, 'Tough Grader': 1, 'Tough grader': 1}",4.7,100,4.2,3.086470588235294
"MALLY, L.",History,UC Irvine,{},4.6,N/,2.6,3.91
"NOWICK, J.",Chemistry,UC Irvine,"{'Amazing lectures': 1, 'Amazing lectures ': 1, 'Caring': 1, 'EXTRA CREDIT': 2, 'Get ready to read': 1, 'Graded by few things': 1, 'Inspirational': 1, ""Skip class? You won't pass."": 2, 'Test heavy': 1, 'Tough grader': 1}",4.0,100,3.8,3.4000000000000004
"NOWICK, J.",Chemistry,UC Irvine,"{'Get ready to read': 2, 'Test heavy': 2, 'Tough grader': 2}",2.0,N/,4.0,3.4000000000000004
"MILLER, F.",Public Health,UC Irvine,"{'Lots of homework': 1, 'Participation matters': 1, ""Skip class? You won't pass."": 1}",2.3,N/,2.8,3.204
"MILLER, F.",Public Health,UC Irvine,{},1.0,N/,4.0,3.204
"TRAN, T.",Languages,UC Irvine,"{'Accessible outside class': 1, 'Amazing lectures': 1, 'Caring': 4, 'Gives good feedback': 1, 'Graded by few things': 4, 'Hilarious': 4, 'Inspirational': 3, 'Lecture heavy': 1, 'Participation matters': 1, 'Respected': 6, 'Test heavy': 2}",3.9,60,2.8,3.421641791044776
"BOGART, D.",Economics,UC Irvine,"{'Get ready to read': 3, 'Inspirational': 1, 'LOTS OF HOMEWORK': 1, 'Lots of homework': 1, 'SO MANY PAPERS': 1, 'So many papers': 2, 'Tough grader': 2}",3.8,0,3.3,3.068888888888889
"BOGART, D.",Psychology  Social Behavior,UC Irvine,"{'Amazing lectures': 1, 'Amazing lectures ': 1, 'Clear grading criteria': 1, 'EXTRA CREDIT': 2, 'Get ready to read': 2, ""Skip class? You won't pass."": 2, 'Tough Grader': 1, 'Tough grader': 1}",3.3,67,3.3,3.068888888888889
"KATRAK, K.",Ethnic Studies,UC Irvine,"{'Get ready to read': 2, 'Lots of homework': 1, 'Tough Grader': 1, 'Tough grader': 1}",3.5,0,2.4,3.6959999999999993
"KNIGHTEN, L.",English,UC Irvine,"{'Caring': 1, 'Clear grading criteria': 1, 'Get ready to read': 1, 'Gives good feedback': 1, ""Skip class? You won't pass."": 1}",3.5,N/,3.6,3.0450000000000004
"BURLEY, N.",Biology,UC Irvine,"{'Clear grading criteria': 1, 'EXTRA CREDIT': 3, 'Get ready to read': 11, 'Lecture heavy': 9, 'Lots of homework': 7, 'Participation matters': 9, ""Skip class? You won't pass."": 3, 'Test heavy': 7, 'Tough grader': 3}",3.4,44,3.9,3.1924137931034484
"KAUFMAN, S.",Humanities,UC Irvine,{},4.5,N/,3.0,3.545714285714286
"JAMES, A.",Biology,UC Irvine,{},2.7,N/,3.2,3.436818181818182
"JAMES, A.",Philosophy,UC Irvine,"{'Accessible outside class': 1, 'Amazing lectures': 1, 'Clear grading criteria': 4, 'GRADED BY FEW THINGS': 1, 'Get ready to read': 8, 'Graded by few things': 5, 'Inspirational': 1, 'LECTURE HEAVY': 2, 'Lecture heavy': 1, 'Participation matters': 3, 'So many papers': 1, 'Tough Grader': 1}",3.3,45,2.8,3.436818181818182
"TREAS, J.",Sociology,UC Irvine,"{'Beware of pop quizzes': 1, 'EXTRA CREDIT': 1, 'Inspirational': 1}",2.3,N/,3.9,2.983333333333333
"HAMBER, F.",Languages,UC Irvine,"{'Amazing lectures ': 1, 'Participation matters': 1, 'Respected': 1, ""Skip class? You won't pass."": 1, 'Would take again': 1}",4.9,N/,2.1,3.193888888888889
"SCHLOSSER, S.",International Studies,UC Irvine,"{'Amazing lectures': 1, 'Amazing lectures ': 1, 'Caring': 2, 'Gives good feedback': 2, 'Inspirational': 3, 'Respected': 2}",3.9,100,2.5,3.313870967741936
"FAN, H.",Biology,UC Irvine,"{'Lecture heavy': 1, 'Tests are tough': 1, 'Tough grader': 1, 'Would take again': 1}",3.9,N/,3.2,2.7725
"SMITH, D.",Sociology,UC Irvine,"{'GRADED BY FEW THINGS': 1, 'Get ready to read': 5, 'Graded by few things': 1, 'Hilarious': 1, 'LOTS OF HOMEWORK': 1, 'Lecture heavy': 3, 'Participation matters': 4, 'Respected': 1, ""Skip class? You won't pass."": 3, 'Tough Grader': 1, 'Tough grader': 4}",3.6,60,3.1,3.095
"SMITH, D.",Philosophy,UC Irvine,"{'GRADED BY FEW THINGS': 2, 'Get ready to read': 3, 'Gives good feedback': 2, 'Graded by few things': 3, 'Inspirational': 1, 'LECTURE HEAVY': 1, 'Lecture heavy': 1, 'Respected': 3, 'So many papers': 1, 'Tests? Not many': 1}",2.7,29,2.6,3.095
