name,department,school,take_again,difficulty,avg_gpa,Clear grading criteria,Respected,Get ready to read,Skip class? You won't pass.,Tough grader,Accessible outside class,Graded by few things,Lecture heavy,Test heavy,Inspirational,Amazing lectures,Caring,Gives good feedback,Participation matters,Hilarious,Lots of homework,rating,score,total_tags
"PARKER, D.",Public Health,UC Irvine,84,3.5,3.1420000000000003,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3.7,3.7069604,6
"BORUCKI, A.",History,UC Irvine,75,3.4,3.480625,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,4.3,3.706343,9
"SILVERBERG, A.",Mathematics,UC Irvine,100,3.6,2.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,3.7045116,0
"CUNNINGHAM, G.",Creative Writing,UC Irvine,67,2.7,3.1411111111111114,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,3.7006855,3
"PEDRAM, C.",Psychology & Social Behavior,UC Irvine,100,4.0,3.1766666666666663,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3.5,3.7001014,3
"XIN, M.",Management,UC Irvine,100,3.3,3.2300000000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,3.6999757,0
"MIMURA, G.",Film,UC Irvine,67,3.0,2.9826315789473683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,3.6922002,0
"GONZALEZ, J.",Philosophy,UC Irvine,50,2.5,3.3666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,3.6915765,0
"SCRUGGS, B.",Asian Studies,UC Irvine,67,2.7,3.2765384615384616,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,3.6909235,5
"GARDE, A.",Urban Planning,UC Irvine,100,2.0,3.628461538461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.6881678,0
"DANIEL, K.",Management,UC Irvine,,3.4,3.41125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,3.6879985,0
"PRATT, J.",Biological Sciences,UC Irvine,25,2.4,3.6412,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4.0,3.685975,3
"SCOTT, D.","Criminology, Law & Society",UC Irvine,,2.5,2.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,3.6852362,0
"GARB, P.",Anthropology,UC Irvine,100,1.9,3.685909090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,3.684766,0
"JOLLEY, S.",Philosophy,UC Irvine,,3.0,2.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,3.6814141,0
"JAMES, W.",History,UC Irvine,50,2.6,3.5460869565217394,0,3,7,0,0,0,4,0,0,3,0,0,0,3,0,0,3.6,3.680495,20
"RUBERG, B.",Informatics,UC Irvine,56,3.3,3.5644444444444443,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,3.8,3.6761806,12
"HAYES, G.",Informatics,UC Irvine,100,2.4,3.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,3.6728268,0
"KEIZER, A.",English,UC Irvine,100,3.5,3.481428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,3.670837,0
"MARTINY, A.",Earth Science,UC Irvine,100,3.3,3.3042857142857147,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3.4,3.669495,3
"CAMERINI, D.",Biology,UC Irvine,94,3.3,3.341428571428571,0,0,5,0,11,0,4,0,5,0,0,4,0,0,0,0,3.6,3.6693473,29
"KRICHMAR, J.",Psychology,UC Irvine,67,3.8,3.1987500000000004,3,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,3.7,3.6686997,10
"GRIFFEY, T.",History,UC Irvine,100,3.4,3.3271428571428574,0,0,0,0,3,0,5,0,0,0,0,4,0,3,0,0,3.8,3.6676648,15
"DANDAMUDI, K.",Political Science,UC Irvine,80,3.4,3.38625,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,3.6660826,5
"KOSLOW, A.",Philosophy,UC Irvine,75,3.7,3.0383333333333336,0,0,7,0,0,4,0,0,0,0,0,4,0,0,0,0,3.5,3.6587853,15
"BOWMAN, W.",Materials Engineering,UC Irvine,34,2.4,3.265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.6586707,0
"RUTLEDGE, J.",Physics,UC Irvine,,3.3,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,3.6583471,0
"HUANG, L.",Biological Sciences,UC Irvine,,3.3,3.277222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,3.6583471,0
"MIXON, A.",Writing,UC Irvine,67,3.3,3.495,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,3.7,3.657516,6
"GILBERT, M.",Philosophy,UC Irvine,,3.0,3.247272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,3.6556792,0
"DOMBRINK, J.",Criminal Justice,UC Irvine,63,2.7,3.746486486486487,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,3.6543574,3
"CINQUIN, O.",Biological Sciences,UC Irvine,,1.0,2.788888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.6529686,0
"NOLAND, C.",Humanities,UC Irvine,50,3.0,3.4845454545454544,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3.4,3.6525645,6
"MIS, B.",Psychology,UC Irvine,63,3.6,3.161363636363636,4,0,0,5,4,3,0,11,7,0,0,0,0,0,0,0,4.3,3.65126,34
"BLUMBERG, B.",Biology,UC Irvine,67,3.5,3.1674999999999995,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,3.648997,3
"VELICOGNA, I.",Earth Science,UC Irvine,67,2.3,3.582,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3.3,3.648054,3
"SORACE, R.",Mathematics,UC Irvine,40,3.9,2.458846153846154,0,0,0,5,15,3,0,4,4,0,0,3,0,0,0,8,2.8,3.646235,42
"PRESCHER, J.",Chemistry,UC Irvine,84,3.3,3.2429787234042555,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4.1,3.6459835,3
"JARRELL, T.",Writing,UC Irvine,,2.6,3.013333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.6446588,0
"ZHAN, M.",Anthropology,UC Irvine,65,2.8,3.1438461538461544,0,0,9,4,0,0,8,4,0,0,0,0,0,0,0,0,3.5,3.640993,25
"BERGHOF, A.",Literature,UC Irvine,73,2.8,3.479411764705883,0,0,4,0,0,3,0,0,0,0,0,4,13,8,4,0,3.6,3.6408653,36
"KURDAHI, F.",Electrical Engineering,UC Irvine,100,2.5,3.611428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.6396646,0
"OMBAO, H.",Statistics,UC Irvine,100,4.3,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,3.6380162,0
"PAGE, J.",Theater,UC Irvine,67,3.7,3.7944444444444447,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,3.635454,3
"PEREZ, R.",Sociology,UC Irvine,100,3.3,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,3.6347954,0
"GALGON, G.",Mathematics,UC Irvine,100,3.6,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,3.634311,0
