name,department,school,take_again,difficulty,avg_gpa,Clear grading criteria,Respected,Get ready to read,Skip class? You won't pass.,Tough grader,Accessible outside class,Graded by few things,Lecture heavy,Test heavy,Inspirational,Amazing lectures,Caring,Gives good feedback,Participation matters,Hilarious,Lots of homework,rating,score,total_tags
"AGUILAR-ROCA, N.",Biological Sciences,UC Irvine,87,2.9,3.426992481203007,0,6,4,0,0,0,0,0,0,11,0,16,0,3,0,0,5.0,4.9775624,40
"JENNESS, V.",Criminal Justice,UC Irvine,80,3.5,3.2835294117647056,0,5,16,0,3,6,0,7,0,5,3,5,0,0,0,0,5.0,4.977538,50
"MEDNICK, S.",Psychology,UC Irvine,100,2.8,3.736428571428572,3,0,0,0,0,0,0,3,3,4,3,0,0,0,0,0,5.0,4.975637,16
"OLIVEIRA, G.",International Studies,UC Irvine,100,3.0,3.472142857142857,3,0,3,0,0,0,0,0,0,5,0,8,0,8,0,0,4.9,4.9752245,27
"SCULLY-BLAKER, R.",Computer Science,UC Irvine,100,1.4,3.783333333333333,0,0,0,0,0,0,0,0,0,3,0,6,4,0,0,0,5.0,4.974706,13
"POLLETTA, F.",Sociology,UC Irvine,98,2.9,3.3946153846153844,5,5,13,0,0,4,0,3,0,0,6,0,0,5,0,4,5.0,4.9730024,45
"GOULD, M.",Writing,UC Irvine,100,2.6,3.4966666666666666,0,6,0,0,0,0,0,0,0,3,0,6,6,0,0,0,5.0,4.9727173,21
"LIN, J.",English,UC Irvine,100,2.1,3.473636363636364,0,3,0,0,0,3,0,0,0,0,0,4,5,0,0,0,5.0,4.9715676,15
"DONALDSON, B.",Philosophy,UC Irvine,100,3.0,3.6775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,4.971207,0
"ZHENG, K.",Informatics,UC Irvine,100,1.0,3.935333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,4.971016,0
"JUNQUEIRA, M.",Social Ecology Administration,UC Irvine,100,1.0,3.8533333333333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,4.970838,0
"FOUST, A.",Writing,UC Irvine,100,3.2,3.544,0,5,0,0,0,0,0,0,0,4,0,5,6,0,0,0,4.9,4.970164,20
"DONG, V.",Chemistry,UC Irvine,89,4.4,3.0308333333333333,0,0,6,0,0,0,3,0,7,4,0,6,0,4,0,0,5.0,4.9695625,30
"BULLOCK, J.",Physics,UC Irvine,100,2.4,3.23,0,3,0,0,0,0,0,0,0,4,8,0,0,0,4,0,4.3,4.9690647,19
"JAECKELS, J.",Writing,UC Irvine,,1.7,3.335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,4.9689403,0
"WILD, B.",Writing,UC Irvine,100,2.9,3.646470588235294,3,0,0,0,0,5,3,0,0,0,0,0,6,3,0,0,5.0,4.9682193,20
"RHINEHART, A.",Physical Education,UC Irvine,,5.0,3.964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,4.9665804,0
"PHOENIX, D.",Political Science,UC Irvine,97,2.0,3.54375,3,9,0,0,0,0,4,0,0,6,8,11,0,5,5,0,4.8,4.9627542,51
"HILL, D.",Theater,UC Irvine,100,2.1,3.955864661654135,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,5.0,4.9605465,6
"MORROW, S.",Statistics,UC Irvine,100,3.1,3.1733333333333333,7,0,0,0,0,5,0,0,0,0,0,0,3,8,0,0,5.0,4.960075,23
"FIEG, M.",Physics & Astronomy,UC Irvine,100,3.0,3.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,4.9597154,0
"FORAKER, J.",English,UC Irvine,100,3.0,3.181538461538461,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,4.8,4.9580193,8
"GOODRIDGE, S.",Education,UC Irvine,92,2.3,3.404074074074074,0,6,7,0,0,0,4,0,0,8,6,9,0,0,0,0,5.0,4.956877,40
"MOAYEDI, N.",Education,UC Irvine,100,3.3,3.985,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,5.0,4.956369,8
"ATHANASIOU, K.",Biomedical,UC Irvine,100,2.7,3.5050000000000003,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5.0,4.9555335,6
"MCGUIRE, C.",University Studies,UC Irvine,100,1.0,3.784285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,4.953837,0
"LAKON, C.",Public Health,UC Irvine,100,1.0,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,4.9529014,0
"STANLEY, A.",Writing,UC Irvine,100,2.3,3.366,0,0,0,0,0,0,0,0,0,3,0,3,5,0,0,0,5.0,4.9521203,11
"TAN, I.",English,UC Irvine,100,2.0,3.7815789473684216,0,5,0,0,0,0,0,0,0,0,0,7,7,0,0,0,5.0,4.9505305,19
"LARKIN-SWARTOUT, A.",Earth Science,UC Irvine,100,1.0,2.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,4.9491806,0
"ILABACA, F.",Economics,UC Irvine,,1.0,2.585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,4.948719,0
"MARAFFI, E.",Academic Services,UC Irvine,,4.4,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,4.9474015,0
"RODRIGUEZ, F.",Education,UC Irvine,94,2.4,3.677777777777778,0,3,0,0,0,0,0,0,0,4,0,8,0,5,6,0,5.0,4.9470854,26
"KRUMPER, J.",Chemistry,UC Irvine,100,3.0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,4.94661,0
"YOUSEFI, M.",Political Science,UC Irvine,100,2.0,3.6033333333333335,3,0,0,0,0,0,0,0,0,3,0,0,4,4,0,0,5.0,4.9450417,14
"LERCH, J.",Sociology,UC Irvine,96,2.3,3.5071428571428567,3,7,8,0,0,3,3,0,0,4,5,7,4,4,8,0,5.0,4.944581,56
"BAGINSKI, A.",Writing,UC Irvine,100,2.3,3.333333333333333,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,5.0,4.943259,9
"COX, A.",Comparative Literature,UC Irvine,100,2.0,3.667142857142857,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5.0,4.941111,6
"COLLER, I.",History,UC Irvine,100,2.1,3.5641176470588234,0,6,4,0,0,0,0,0,0,3,6,8,0,4,0,0,5.0,4.9408693,31
"LEE, S.",English,UC Irvine,82,3.0,3.586,0,8,0,0,0,0,0,0,0,4,0,6,7,0,0,0,4.5,4.9368696,25
"HAMBER, F.",Languages,UC Irvine,,2.1,3.193888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,4.936498,0
"DUNCAN, R.",International Studies,UC Irvine,86,2.4,3.1801526717557254,0,6,6,6,0,0,0,7,0,0,4,0,3,0,0,0,4.9,4.9354043,32
"PARNEGG, M.",Writing,UC Irvine,100,2.7,3.387142857142857,0,0,3,0,0,0,0,0,0,0,0,4,7,0,4,0,4.9,4.935099,18
"HICKOK, A.",Writing,UC Irvine,100,3.2,3.865,3,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,5.0,4.933143,12
"JENKS, A.",Anthropology,UC Irvine,100,2.1,3.6144117647058818,9,8,9,0,0,0,0,0,0,7,7,10,3,0,0,0,5.0,4.932723,53
"KROLL, J.",Linguistics,UC Irvine,100,3.0,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,4.930616,0
"DEUS, T.",Education,UC Irvine,100,2.5,3.6666666666666665,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5.0,4.9301977,3
"TRAN, A.",English As A Second Language,UC Irvine,100,1.5,3.32,0,3,0,0,0,3,0,0,0,0,0,4,3,0,0,0,5.0,4.9292746,13
"SCHOLL, T.",Mathematics,UC Irvine,100,5.0,2.7725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,4.9291244,0
"MILLER, R.",Writing,UC Irvine,100,1.8,3.49,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,5.0,4.929094,8
"DOWELL, N.",Education,UC Irvine,100,1.0,3.822,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5.0,4.92622,8
"BERGEMANN, P.",Business,UC Irvine,100,2.0,3.673333333333333,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5.0,4.9261494,3
"WOOD, M.",Biology,UC Irvine,98,3.6,3.585384615384615,0,12,6,0,0,3,0,3,0,6,5,7,0,3,0,0,5.0,4.9255548,45
